# One-gap sentences for Part 6 training, written for this app.  cat | sentence with ___ | answers | note

# ---- articles
art | My mother is ___ engineer. | an | a/an + job; an before a vowel sound
art | This is ___ best pizza I have ever eaten. | the | the + superlative
art | I go to the gym three times ___ week. | a | three times a week
art | We had ___ great time at the party. | a | have a great time
art | Can you play ___ guitar? | the | play the + instrument
art | What ___ beautiful house! | a | What a + adjective + singular noun!
art | She lives on ___ second floor. | the | the + first, second, third...
art | It takes half ___ hour to get there. | an | half an hour
art | He is in ___ hurry, so he cannot stop. | a | be in a hurry
art | Who was ___ first person to walk on the moon? | the | the first / the last / the only
art | I have ___ headache, so I am going to bed. | a | have a headache / a cold / a cough
art | We met at ___ same school. | the | the same

# ---- prepositions
prep | I am not very good ___ maths. | at | good AT / bad AT
prep | She is afraid ___ spiders. | of | afraid OF
prep | Thank you ___ helping me. | for | thank you FOR + -ing
prep | My birthday is ___ 5 June. | on | on + date / day
prep | We arrived ___ the airport two hours early. | at | arrive AT a place (arrive IN a city)
prep | He has lived here ___ 2019. | since | since + starting point
prep | Are you interested ___ history? | in | interested IN
prep | I am tired ___ waiting for the bus. | of | tired OF + -ing
prep | It depends ___ the weather. | on | depend ON
prep | She apologised ___ being late. | for | apologise FOR
prep | This song reminds me ___ my holidays. | of | remind somebody OF something
prep | I will see you ___ the weekend. | at/on | at the weekend (British), on the weekend (American)
prep | He is married ___ a doctor. | to | married TO (not "with")
prep | I have been waiting ___ two hours. | for | for + period of time
prep | We went there ___ foot. | on | on foot (but by car, by bus)
prep | What are you laughing ___? | at | laugh AT
prep | The film is based ___ a true story. | on | based ON
prep | She is different ___ her sister. | from/to | different FROM

# ---- auxiliary verbs and modals
aux | I ___ never been to Paris. | have | present perfect: have + past participle
aux | What ___ you doing at eight o'clock last night? | were | past continuous question
aux | This castle ___ built in 1450. | was | past passive
aux | ___ your brother like football? | does | present simple question, he/she/it
aux | I ___ not see you at the party yesterday. | did | past simple negative
